Блок,ID,Название (Title):,Описание (Summary):,Приоритет (Priority),Предусловия (Preconditions),Шаги (Steps to reproduce):,Ожидаемый результат (Expected result):
Авторизация,1,Авторизация зарегистрированного пользователя (Wifi),,High,горизонтальная ориентация,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин,2 поле открыто для заполнения
,,,,,,3 Ввести пароль,3 поле открыто для заполнения
,,,,,,4 Нажать кнопку Sign in,4 Открылось окно News
,2,Авторизация зарегистрированного пользователя (3G),,High,вертикальная ориентация,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин,2 поле открыто для заполнения
,,,,,,3 Ввести пароль,3 поле открыто для заполнения
,,,,,,4 Нажать кнопку Sign in,4 Открылось окно News
,3,Авторизация зарегистрированного пользователя (VPN),,High,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин,2 поле открыто для заполнения
,,,,,,3 Ввести пароль,3 поле открыто для заполнения
,,,,,,4 Нажать кнопку Sign in,4 Открылось окно News
Создание новости,4,"News - создание новой новости (Wifi, выбр времяни через циферблат, категория Объвление)",,High,горизонтальная ориентация,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку создать запись (блокнот с ручкой),5. Открылось окно Control panel
,,,,,,6 Нажать кнопку +,"6. Открылось окно Creating News - c пустыми полями категория, title, publication date, time, discription. С активными кнопками Save и Cancel."
,,,,,,7. Нажать на поле Category,"7. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,8. Выбрать категорию Объявление,8. Category и Title заполнилось тестом Объявление
,,,,,,9. Нажать на Publication date,9. Открылся календарь с кнопками cancel и ok
,,,,,,10. Выбрать дату (сегодня) и нажать ок,10. В Publication date выставилась выбранная дата 
,,,,,,11. Нажать на Time,"11. Открылся циферблат с активными кнопками cancel, ok, переключатель на клавиатуру."
,,,,,,12. Выбрать на циферблате часы и минуты публикации и нажать ок.,12. Time заполнилось выбранным временем
,,,,,,13. Выбрать description,13. Поле открылось для заполнения
,,,,,,14. Написать любой текст,14. Поле description заполнилось выбранным текстом
,,,,,,15. Нажать кнопку Save,15. Созданная новость стала активной и появилась в Control panel. Текст в полях совпадают с выбранными при создании. 
,5,News - создание новой новости с выбором времяни с клавиатуры (категория Профсоюз),,High,вертикальная ориентация,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку создать запись (блокнот с ручкой),5. Открылось окно Control panel
,,,,,,6 Нажать кнопку +,"6. Открылось окно Creating News - c пустыми полями категория, title, publication date, time, discription. С активными кнопками Save и Cancel."
,,,,,,7. Нажать на поле Category,"7. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,8. Выбрать категорию Профсоюз,8. Category и Title заполнилось тестом Профсоюз
,,,,,,9. Нажать на Publication date,9. Открылся календарь с кнопками cancel и ok
,,,,,,10. Выбрать дату (сегодня) и нажать ок,10. В Publication date выставилась выбранная дата 
,,,,,,11. Нажать на Time,"11. Открылся циферблат с активными кнопками cancel, ok, переключатель на клавиатуру."
,,,,,,12. Нажать на кнопку клавиатуры.,"12. Открылось окно Set time c полями hour minute. С кнопками cancel и ok, переключение на циерблат."
,,,,,,13. Нажать на hour и напечатать время,13. Открылось окно для редактирования
,,,,,,14. Нажать на minute ,14. Открылось окно для редактирования
,,,,,,15. Выбрать description,15. Поле открылось для заполнения
,,,,,,16. Написать любой текст,16. Поле description заполнилось выбранным текстом
,,,,,,17. Нажать кнопку Save,17. Созданная новость стала активной и появилась в Control panel. Текст в полях совпадают с выбранными при создании. 
,6,"News - создание новой новости (3G, категория Зарплата)",,High,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку создать запись (блокнот с ручкой),5. Открылось окно Control panel
,,,,,,6 Нажать кнопку +,"6. Открылось окно Creating News - c пустыми полями категория, title, publication date, time, discription. С активными кнопками Save и Cancel."
,,,,,,7. Нажать на поле Category,"7. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,8. Выбрать категорию Зарплата,8. Category и Title заполнилось тестом Зарплата
,,,,,,9. Нажать на Publication date,9. Открылся календарь с кнопками cancel и ok
,,,,,,10. Выбрать дату (сегодня) и нажать ок,10. В Publication date выставилась выбранная дата 
,,,,,,11. Нажать на Time,"11. Открылся циферблат с активными кнопками cancel, ok, переключатель на клавиатуру."
,,,,,,12. Выбрать на циферблате часы и минуты публикации и нажать ок.,12. Time заполнилось выбранным временем
,,,,,,13. Выбрать description,13. Поле открылось для заполнения
,,,,,,14. Написать любой текст,14. Поле description заполнилось выбранным текстом
,,,,,,15. Нажать кнопку Save,15. Созданная новость стала активной и появилась в Control panel. Текст в полях совпадают с выбранными при создании. 
,7,"News - создание новой новости title отличен от Category (3G, категория Праздник)",,High,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку создать запись (блокнот с ручкой),5. Открылось окно Control panel
,,,,,,6 Нажать кнопку +,"6. Открылось окно Creating News - c пустыми полями категория, title, publication date, time, discription. С активными кнопками Save и Cancel."
,,,,,,7. Нажать на поле Category,"7. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,8. Выбрать категорию Праздник,8. Category и Title заполнилось тестом Праздник
,,,,,,9. Нажать на title и прописать другой текст,Текст в поле редактируется
,,,,,,10. Нажать на Publication date,10. Открылся календарь с кнопками cancel и ok
,,,,,,11. Выбрать дату (сегодня) и нажать ок,11. В Publication date выставилась выбранная дата 
,,,,,,12. Нажать на Time,"12. Открылся циферблат с активными кнопками cancel, ok, переключатель на клавиатуру."
,,,,,,13. Выбрать на циферблате часы и минуты публикации и нажать ок.,13. Time заполнилось выбранным временем
,,,,,,14. Выбрать description,14. Поле открылось для заполнения
,,,,,,15. Написать любой текст,15. Поле description заполнилось выбранным текстом
,,,,,,16. Нажать кнопку Save,16. Созданная новость стала активной и появилась в Control panel. Текст в полях совпадают с выбранными при создании. 
,8,"News - создание новой новости (вчерашним числом, 3G, категория Массаж)",,High,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку создать запись (блокнот с ручкой),5. Открылось окно Control panel
,,,,,,6 Нажать кнопку +,"6. Открылось окно Creating News - c пустыми полями категория, title, publication date, time, discription. С активными кнопками Save и Cancel."
,,,,,,7. Нажать на поле Category,"7. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,8. Выбрать категорию Массаж,8. Category и Title заполнилось тестом Массаж
,,,,,,9. Нажать на Publication date,9. Открылся календарь с кнопками cancel и ok
,,,,,,10. Выбрать дату (вчера) и нажать ок,10. В Publication date выставилась выбранная дата 
,,,,,,11. Нажать на Time,"11. Открылся циферблат с активными кнопками cancel, ok, переключатель на клавиатуру."
,,,,,,12. Выбрать на циферблате часы и минуты публикации и нажать ок.,12. Time заполнилось выбранным временем
,,,,,,13. Выбрать description,13. Поле открылось для заполнения
,,,,,,14. Написать любой текст,14. Поле description заполнилось выбранным текстом
,,,,,,15. Нажать кнопку Save,15. Созданная новость стала активной и появилась в Control panel. Текст в полях совпадают с выбранными при создании. Новость появилась в категории Main.
,9,"News - создание новой новости (VPN, категория День Рождение)",,High,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку создать запись (блокнот с ручкой),5. Открылось окно Control panel
,,,,,,6 Нажать кнопку +,"6. Открылось окно Creating News - c пустыми полями категория, title, publication date, time, discription. С активными кнопками Save и Cancel."
,,,,,,7. Нажать на поле Category,"7. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,8. Выбрать категорию День Рождение,8. Category и Title заполнилось тестом Объявление
,,,,,,9. Нажать на Publication date,9. Открылся календарь с кнопками cancel и ok
,,,,,,10. Выбрать дату (сегодня) и нажать ок,10. В Publication date выставилась выбранная дата 
,,,,,,11. Нажать на Time,"11. Открылся циферблат с активными кнопками cancel, ok, переключатель на клавиатуру."
,,,,,,12. Выбрать на циферблате часы и минуты публикации и нажать ок.,12. Time заполнилось выбранным временем
,,,,,,13. Выбрать description,13. Поле открылось для заполнения
,,,,,,14. Написать любой текст,14. Поле description заполнилось выбранным текстом
