Группа проверок/модуль,Проверка,Приоритет,Пройденные тесты,,,,,
Авторизация,ввести логин и пароль авторизованного пользователя,High,TRUE,,,,,
,ввести логин и пароль не авторизованного пользователя,Medium,TRUE,,,,,
,оставить поля логин и пароль пустыми и авторизоваться,Medium,TRUE,,,,,
Раздел Main,"отображение последних трех новостей за вчера при нажатии News
",Medium,TRUE,,,,,
,при нажатии на новость - открывается поле description,Medium,TRUE,,,,,
,Дата новости за вчера,Medium,TRUE,,,,,
,"при нажатие кнопки All news переходит в раздел News
",Medium,TRUE,,,,,
,"при повторном нажатии меню, раздел Main задезейблен, а ньювс и абоут активные",Medium,TRUE,,,,,
,при нажатии на ньювс скрываются новости,Medium,TRUE,,,,,
,"из раздела  перейти в цитаты
",Medium,TRUE,,,,,
,"из раздела выйти из приложения
",Medium,TRUE,,,,,
Раздел News,"Фильтрация по убыванию
",Low,TRUE,,,,,
,"Фильтр в Control panel по категории и дате, кнопка обновить, чек-бокс Active, not active",,TRUE,,,,,
,"Фильтр в News категории и дате, кнопка обновить",Low,TRUE,,,,,
,Перехеод в меню control panel,High,TRUE,,,,,
,"Редактирование новости - категрия, титл, дата публикации, время(циферблат), описание, Кнопка Active",Medium,FALSE,"Баг - Не появилась запись в разделе новости.
",,,,
,Переход в раздел Control panel,High,TRUE,,,,,
,Удалять новость,Medium,TRUE,,,,,
,"Фильтровать по убыванию
",Low,TRUE,,,,,
,"Фильтровать по категории, дате, активная или неактивная
",Low,FALSE,,,,,
,"Создание новости - выбор категории, титла, даты публикации, время публикации, описание, активн. 
",High,TRUE,,,,,
,"Выход в раздел цитаты и выйти из аккаунта
",Medium,TRUE,,,,,
,"Сохранить новость с одним из пустых разделов
",Medium,TRUE,,,,,
,"Редактирование новости - категрия, титл, дата публикации, время(клавиатура), описание, Кнопка Active",Medium,FALSE,"Баг - В разделе новости выводится запись creation date невалидная

",,,,
,Отмена создания новости,Medium,TRUE,,,,,
,"Переключение с циферблата на клавиатуру(время)
",Medium,TRUE,,,,,
,Выход из аккаунта,Medium,TRUE,,,,,
,Переход в раздел цитат,Medium,TRUE,,,,,
,"Создание новости - категрия, титл, дата публикации, время(циферблат), описание, Кнопка Active",High,TRUE,,,,,
,"Создание новости - категрия, титл, дата публикации, время, описание, Кнопка Active с пустыми полями",Medium,TRUE,,,,,
,"Создание новости - категрия, титл, дата публикации, время (клавиатура), описание, Кнопка Active с пустыми полями",High,FALSE,"Баг - Не появилась запись в разделе новости.
",,Баг - в разделе новости выводится запись creation date невалидная,,Баг - в разделе новости не выводится запись о времени
,Отмена редактирования новости,,TRUE,,,,,
